Unique Names	NameCopy	MatchedViaf	Length	Manual Viaf	Notes
John Wolfs	John Wolfs				
Paul Joostens	Joostens, Paul, 1889-1960	66585980			
Jörg Mager	Jörg Mager				
Josef Peeters	Josef Peeters				
Josef Treß	Josef Treß				
Joseph Adler	Joseph Adler				
Joseph Tress	Joseph Tress				
Jovan Popovitsch	Jovan Popovitsch				
Jozef Peeters	Jozef Peeters				
Franz Jung	Jung, Franz, 1888-1963	66481715			
K. H	K. H		4		
K. M	K. M		4		
Béla Kádár	Kádár, Béla, 1877-1956	95830622			
Belá Kádár	Kádár, Béla, 1877-1956	95830622			
E. Kagarow	Kagarov, Evgeniĭ Georgievich, 1882-1942	51006481			
Graf von Kalckreuth	Kalckreuth, Leopold, Graf von, 1855-1928	57409463			
Siegmund Kalischer	Kalischer, Siegmund	206674625			
Kampfbûhne	Kampfbûhne				
Kandinsky	Kandinsky, Wassily, 1866-1944	22143802			
W. Kandinsky	Kandinsky, Wassily, 1866-1944	22143802	12		
Wassily Kandinsky	Kandinsky, Wassily, 1866-1944	22143802			
Karel Albert	Karel Albert				
Karel Maes	Karel Maes				
Karl Brand	Karl Brand				
Karl Gerlach	Karl Gerlach				
Karl Haman	Karl Haman				
Karl Hauer	Karl Hauer				
Karl Vogt	Karl Vogt				
Kassák Lajós	Kassák, Lajos	100269972			
Katholisches Mysterienspiel	Katholisches Mysterienspiel				
Edmund Kesting	Kesting, Edmund	8182460			
Friedrich Kiesler	Kiesler, Frederick	24651477			
Alfred Kind	Kind, Alfred, 1876-1927	47150196			
Kinner v. Dresler	Kinner v. Dresler		17		
Kinner von Dresler	Kinner von Dresler				
E. L. Kirchner	Kirchner, Ernst Ludwig, 1880-1938	9888581			
HERMANN KIY	Kiy, Hermann, 1879-1963	64751952			
Paul Klee	Klee, Paul, 1879-1940	68931085			
César Klein	Klein, César, 1876-1954	47556957			
Adolf Knoblauch	Knoblauch, Adolf, 1882-	54895426			
Erlauch	Knoblauch, Adolf, 1882-	54895426			
Karlo Kocjančič	Kocjančič, Karlo, 1901-1970	46713939			
Bohuslav Kokoschka	Kokoschka, Bohuslav (German artist, born 1893)	96374010			
Oskar Kokoschka	Kokoschka, Oskar, 1886-1980	31998450			
Desider Kosztolányi	Kosztolányi, Dezső, 1885-1936	17232459			
Desider Kosztolanyi	Kosztolányi, Dezső, 1885-1936	17232459			
Fran Kralj	Kralj, Francè, 1895-1960	25448298			
Feliks Krassowski	Krassowski, Feliks	161449924			
Karl Kraus	Kraus, Karl, 1874-1936	44300932			
Fritz Kreuzig	Kreuzig, Fritz	45297173			
Karl Heinz Kroll	Kröll, Karl Heinz	120977742			
Dr. Kröner	Kröner				
Arthur Kronfeld	Kronfeld, Arthur, 1886-1941	52486934			
Stanislaw Kubicki	Kubicki, Stanislaw, 1889-1943	18023858			
Kurt Küchler	Küchler, Kurt 1883-1925	45057987			
Lothar von Kunowski	Kunowski, Lothar von	3226744			
Kurt Fr. Kronfeld	Kurt Fr. Kronfeld		17		
Kurt Liebmunn	Kurt Liebmunn				
Rudolf Kurtz	Kurtz, Rudolf, 1884-1960	37671924			
L. H	L. H		4		
L. H. Neitzel	L. H. Neitzel		13	http://viaf.org/viaf/270349836/	
L. Kainer	L. Kainer		9		
L. L	L. L		4		
L. Wachlmeier	L. Wachlmeier		13		
Rudolf von Laban	Laban, Rudolf von 1879-1958	39418539			
Jules Laforgue	Laforgue, Jules, 1860-1887	34458905			
John Landquist	Landquist, John, 1881-1974	68987771			
Frantisek Langer	Langer, František, 1888-1965	12430171			
Egon Löwy	Lánský, Egon T., 1934-	56427150			
Lao-Tse	Laozi.	100199971			
Werner Peter Larsen	Larsen, Werner Peter	60063271			
Else Lasker-Schüler	Lasker-Schüler, Else, 1869-1945	61565628			
Else Lasker–Schüler	Lasker-Schüler, Else, 1869-1945	61565628			
Marie Laurencin	Laurencin, Marie, 1883-1956	122131844			
Sophie van Leer	Leer, Sophie van, 1892-1953	72288041			
Fernand Léger	Léger, Fernand, 1881-1955	34459370			
Alfred Lemm	Lemm, Alfred, 1889-1918	45183776			
Leonardo da Vinci	Leonardo, da Vinci, 1452-1519.	24604287			
Alfred Lichtenstein	Lichtenstein, Alfred, 1889-1914	71423827			
Kurt Liebmann	Liebmann, Kurt, 1897-	37681931			
Detlev von Liliencron	Liliencron, Detlev von 1844-1909	27159252			
Georges Linze	Linze, Georges, 1900-1993	110390431			
JOE LOE	Loewenstein, Josef	170858151			
Adolf Loos	Loos, Adolf, 1870-1933	17225994			
Lothar	Lothar				
Lothar Schleyer	Lothar Schleyer			http://viaf.org/viaf/69038593	
Lotte Schubart	Lotte Schubart				
Ernst Wilhelm Lotz	Lotz, Ernst Wilhelm	61695593			
Ernst Wilhelm Lötz	Lotz, Ernst Wilhelm	61695593			
Louis ARAGON	Louis ARAGON				
Ludwig Kainer	Ludwig Kainer	64274851			
Ludwig Kassàk	Ludwig Kassàk				
Ludwig Kassák	Ludwig Kassàk				
Ludwig Segebarth	Ludwig Segebarth				
Oskar Lüthy	Lüthy, Oscar, 1882-1945	81605025			
Joseph August Lux	Lux, Joseph Aug. (Joseph August), 1871-1947	59858503			
Joseph Aug. Lux	Lux, Joseph Aug. (Joseph August), 1871-1947	59858503	15		
M. Melzer	M. Melzer		9	http://viaf.org/viaf/30298819	
M. R. Schönlank	M. R. Schönlank		15		
M. Seuphor	M. Seuphor		10		
M. Szczuka	M. Szczuka		10		
August Macke	Macke, August, 1887-1914	19686273			
Emil Maetzel	Maetzel, Emil, 1877-1955	69872452			
Emile Malespine	Malespine, Emile 1892-1925	51902152			
Malevitsch	Malevich, Kazimir Severinovich, 1878-1935	14773228			
Man Ray	Man Ray, 1890-1976	7396101			
Manfred Adam	Manfred Adam				
Marcel Darimont	Marcel Darimont				nolink
Louis Marcoussis	Marcoussis, Louis, 1878-1941	100272527			
Marie Pukl	Marie Pukl				nolink
Marij Kogoj	Marij Kogoj				
Marijan Marik	Marijan Marik				nolink
F. T. Marinetti	Marinetti, F. T., 1876-1944	4933263	15	http://viaf.org/viaf/4933263	
Marja Enid	Marja Enid				nolink
Hans Mattis Teutsch	Máttis-Teutsch, János, 1884-1960	804354			
Maurice Casteels	Maurice Casteels				
Max Ernst	Max Ernst				
Max Fröhlich	Max Fröhlich				
Max Morise	Max Morise				
Max Steiner	Max Steiner				
M. H. Maxy	Maxy, M. H., 1895-1971	49048962	10		
Hans Mayer	Mayer, Hans, 1907 March 19-2001	73857245			
Mc. R. Err	Mc. R. Err		10		No Viaf Results
Walter Mehring	Mehring, Walter, 1896-1981	27068501			
Ludwig Meidner	Meidner, Ludwig, 1884-1966	7603180			
Rudolf Meissner	Meißner, Rudolf, 1863-1948	9924179			
Moriz Melzer	Melzer, Moritz, 1877-1966	30298819			
Erich Mendelsohn	Mendelsohn, Erich, 1887-1953	64036345			
Carl Mense	Mense, Carlo, 1886-1965	18025464			
Jean Metzinger	Metzinger, Jean, 1883-1956	25400846			
Michael Lainoff	Michael Lainoff				
Michael Larionow	Michael Larionow				
Michel Puy	Michel Puy				
Lioubomir Mitzitch	Micić, Ljubomir, 1895-1971	45114101			
Mietschislaw Schtscuka	Mietschislaw Schtscuka				
Paul Mieville	Miéville, Paul 1941-...	251044279			
Minimax	Minimax				
N. M. Minski	Minskiĭ, N. M. (Nikolaĭ Maksimovich), 1855-1937	50266497	12		
Octave Mirbeau	Mirbeau, Octave, 1848-1917	100204602			
Moholy-Nagy	Moholy-Nagy, László, 1895-1946.	22203431			
Laszlo Moholy-Nagy	Moholy-Nagy, László, 1895-1946.	22203431			
L. Moholy-Nagy	Moholy-Nagy, László, 1895-1946.	22203431	14		
Otto Moeller	Möller, Otto 1883-1964	13075544			
Johannes Molzahn	Molzahn, Johannes, 1892-1965	71521337			
Harald Landt Momberg	Momberg, Harald Landt, 1896-	225356247			
Alfred Mombert	Mombert, Alfred, 1872-1942	61592829			
Wilhelm Morgner	Morgner, Wilhelm, 1891-1917	3266011			
Zsigmond Móricz	Móricz, Zsigmond, 1879-1942	22179627			
Moritz König	Moritz König				
Moriz König	Moriz König				
Georg Muche	Muche, Georg, 1895-1987	32788841			
Müller-Kaboth	Müller-Kaboth				
Günther Mürr	Müller, Günther, 1890-1957	52471110			
Munch	Munch				
Herbert Mündel	Mundel, Herbert 1901-	50020454			
Herbert Mundel	Mundel, Herbert 1901-	50020454			
G. Münter	Munter, G. (Gerrit), 1876-1971	289490892	9		
Gabriele Münter	Münter, Gabriele, 1877-1962	51864611			
Mynona	Mynona, 1871-1946	281958886			
N. W	N. W		4		
Otto Nebel	Nebel, Otto, 1892-1973	95203050			
Oskar Nerlinger	Nerlinger, Oskar, 1893-1969	54944429			
Oscar Nerlinger	Nerlinger, Oskar, 1893-1969	54944429			
Neugierige R. R	Neugierige R. R		15		
Lilly Nevinny	Nevinny, Lilly	25588469			
VITEZLAV NEZVAL	Nezval, Vítězslav, 1900-1958	7402030			
Luciano Nicastro	Nicastro, Luciano, 1895-	27882321			
Nichts	Nichts				
Nikolaus Braun	Nikolaus Braun				
Nina-Naj	Nina-Naj				
Emil Nolde	Nolde, Emil, 1867-1956	37040576			
Heinrich Nowak	Nowak, Heinrich, 1890-1955	79133839			
O. E	O. E		4		
O. N	O. N		4		
Okkultes Drama	Okkultes Drama				
Arnold Oppel	Oppel, Arnold	61924270			
Oscar Nerliner	Oscar Nerliner				
Walther G. Oschilewski	Oschilewski, Walther Georg, 1904-	78822672	22		
Oskar Fischer	Oskar Fischer				
Oskar Graf-Berg	Oskar Graf-Berg				Oskar Graf pseudonym
Karl Ernst Osthaus	Osthaus, Karl Ernst, 1874-1921	54940791			
Wilhelm Ostwald	Ostwald, Wilhelm, 1853-1932	44372577			
Oswald Herzog	Oswald Herzog				
